Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total,Vaccinated,Fully_vaccinated,Boosted
DEU,202125,395,5,691,0,83,1174,45789535.0,29537187.0,5730.0
DEU,202126,238,2,929,0,113,1282,48126081.0,32487988.0,6375.0
DEU,202127,122,0,1165,0,78,1365,49718073.0,35594456.0,7138.0
DEU,202128,72,1,1557,0,69,1699,50860294.0,38790837.0,11354.0
DEU,202129,52,0,2786,0,29,2867,51692530.0,41418702.0,12281.0
DEU,202130,33,3,2603,0,29,2668,52363561.0,43813618.0,13643.0
DEU,202131,34,0,3437,0,12,3483,52939165.0,45913136.0,16109.0
DEU,202132,27,0,5192,0,11,5230,53558107.0,47848941.0,19550.0
DEU,202133,29,0,7411,0,9,7449,54288771.0,49210722.0,25247.0
DEU,202134,21,0,9678,0,5,9704,55035668.0,50194010.0,35073.0
DEU,202135,12,8,9837,0,11,9868,55689653.0,50975882.0,102474.0
DEU,202136,9,1,10784,0,6,10800,56237700.0,51660982.0,235149.0
DEU,202137,1,0,9245,0,3,9249,56784367.0,52387440.0,425552.0
DEU,202138,1,0,8657,0,13,8671,57249875.0,53101446.0,660731.0
DEU,202139,5,0,7111,0,3,7119,57609757.0,53652090.0,881082.0
DEU,202140,1,0,6764,0,1,6766,57910255.0,54124115.0,1120880.0
DEU,202141,0,0,5498,0,2,5500,58188247.0,54561570.0,1398814.0
DEU,202142,0,0,8172,0,3,8175,58436806.0,54959873.0,1731690.0
DEU,202143,0,0,7545,0,0,7545,58683221.0,55364059.0,2248754.0
DEU,202144,0,0,8652,0,1,8653,58917298.0,55701235.0,2982096.0
DEU,202145,3,3,9768,0,11,9785,59232836.0,56065442.0,4272598.0
DEU,202146,0,0,12016,1,1,12018,59632964.0,56416411.0,6371756.0
DEU,202147,0,1,11607,32,8,11648,60358892.0,56831930.0,10157764.0
DEU,202148,1,0,11639,211,31,11882,61020513.0,57277284.0,15454520.0
DEU,202149,0,0,12311,468,27,12806,61552262.0,57764070.0,21879301.0
DEU,202150,1,0,10591,1575,34,12201,62135107.0,58417067.0,28575975.0
DEU,202151,0,0,7353,2428,51,9832,62518594.0,58876135.0,32190662.0
DEU,202152,0,0,5305,6978,23,12306,62758122.0,59161019.0,34359868.0
DEU,202201,0,0,3840,9506,19,13365,63086189.0,59742162.0,37580855.0
DEU,202202,0,0,1868,10049,27,11944,63436139.0,60432505.0,41053083.0
DEU,202203,0,0,872,13204,33,14109,63753571.0,60996632.0,43740850.0
DEU,202204,0,0,323,14697,21,15041,63987936.0,61492552.0,45641688.0
DEU,202205,0,0,140,18457,12,18609,64145894.0,61876581.0,46865481.0
DEU,202206,0,0,70,19811,0,19881,64252692.0,62208493.0,47846086.0
DEU,202207,0,0,28,21139,3,21170,64328522.0,62461932.0,48654809.0
DEU,202208,0,0,15,18410,3,18428,64389594.0,62665357.0,49413911.0
DEU,202209,0,0,7,19744,90,19841,64451007.0,62803607.0,50095196.0
DEU,202210,1,0,2,21927,15,21945,64503298.0,62912345.0,50814581.0
DEU,202211,0,2,4,19819,11,19836,64540039.0,62989020.0,51562045.0
DEU,202212,1,1,3,17368,17,17390,64572947.0,63062160.0,52294091.0
DEU,202213,0,0,0,14512,6,14518,64599831.0,63121680.0,53007334.0
DEU,202214,0,0,5,14192,20,14217,64622020.0,63170009.0,53720190.0
DEU,202215,0,0,0,14781,0,14781,64634961.0,63194528.0,54123080.0
DEU,202216,0,0,0,13007,2,13009,64647699.0,63219604.0,54467313.0
DEU,202217,0,0,1,12787,0,12788,64668867.0,63258568.0,54951588.0
DEU,202218,0,0,1,10477,0,10478,64681925.0,63285314.0,55396825.0
DEU,202219,0,0,9,9806,7,9822,64691348.0,63304217.0,55732479.0
DEU,202220,0,0,0,8407,5,8412,64700009.0,63322475.0,56021017.0
DEU,202221,0,0,0,7035,1,7036,64707096.0,63335630.0,56188849.0
DEU,202222,0,0,2,7691,1,7694,64714563.0,63350321.0,56400669.0
DEU,202223,0,0,0,8026,1,8027,64720683.0,63361668.0,56562386.0
DEU,202224,0,0,2,12023,6,12031,64727698.0,63373292.0,56734144.0
DEU,202225,0,0,1,14920,12,14933,64735574.0,63385993.0,56973826.0
DEU,202226,0,0,0,12194,5,12199,64743950.0,63398526.0,57198662.0
DEU,202227,0,0,0,8278,6,8284,64750634.0,63409230.0,57419883.0
DEU,202228,0,0,0,8079,1,8080,64757598.0,63420041.0,57684370.0
DEU,202229,0,0,0,7849,1,7850,64764287.0,63428921.0,57926055.0
DEU,202230,0,0,0,6479,5,6484,64770202.0,63437321.0,58149274.0
DEU,202231,0,0,0,5000,0,5000,64775121.0,63444353.0,58324177.0
DEU,202232,0,0,0,4570,0,4570,64779570.0,63451056.0,58485255.0
DEU,202233,0,0,0,4685,0,4685,64787213.0,63460217.0,58630841.0
DEU,202234,0,0,1,4359,2,4362,64791581.0,63466788.0,58786427.0
DEU,202235,0,0,1,4205,5,4211,64796090.0,63473119.0,58929426.0
DEU,202236,0,1,6,5765,9,5781,64800540.0,63479104.0,59050241.0
DEU,202237,0,0,2,5208,13,5223,64804907.0,63485440.0,59262880.0
DEU,202238,0,0,7,1920,9,1936,64809036.0,63491496.0,59519650.0
DEU,202239,0,0,2,123,0,125,64814168.0,63499267.0,59908298.0
EGY,202011,0,0,0,0,5,5,,,
EGY,202012,0,0,0,0,3,3,,,
EGY,202013,0,0,0,0,2,2,,,
EGY,202014,0,0,0,0,2,2,,,
EGY,202015,0,0,0,0,2,2,,,
EGY,202016,0,0,0,0,2,2,,,
EGY,202018,0,0,0,0,32,32,,,
EGY,202019,0,0,0,0,7,7,,,
EGY,202020,0,0,0,0,16,16,,,
EGY,202021,0,0,0,0,7,7,,,
EGY,202022,0,0,1,0,36,37,,,
EGY,202023,0,0,0,0,100,100,,,
EGY,202024,0,0,2,0,34,36,,,
EGY,202025,0,0,0,0,44,44,,,
EGY,202026,0,0,0,0,63,63,,,
EGY,202027,0,0,0,0,80,80,,,
EGY,202028,0,0,0,0,14,14,,,
EGY,202029,0,0,0,0,22,22,,,
EGY,202030,0,0,1,0,24,25,,,
EGY,202031,0,0,0,0,22,22,,,
EGY,202032,0,0,0,0,15,15,,,
EGY,202033,0,0,0,0,21,21,,,
EGY,202034,0,0,0,0,30,30,,,
EGY,202035,0,0,0,0,8,8,,,
EGY,202036,0,0,0,0,10,10,,,
EGY,202037,0,0,0,0,21,21,,,
EGY,202038,0,0,0,0,7,7,,,
EGY,202039,0,0,0,0,8,8,,,
EGY,202040,0,0,0,0,9,9,,,
EGY,202041,0,0,0,0,10,10,,,
EGY,202042,0,0,0,0,6,6,,,
EGY,202043,0,0,0,0,5,5,,,
EGY,202044,0,0,0,0,7,7,,,
EGY,202045,0,0,0,0,4,4,,,
EGY,202046,0,0,0,0,1,1,,,
EGY,202047,0,0,0,0,13,13,,,
EGY,202048,0,0,0,0,1,1,,,
EGY,202049,0,0,0,0,3,3,,,
EGY,202051,0,0,1,0,14,15,,,
EGY,202052,0,0,0,0,51,51,,,
EGY,202101,0,0,0,0,88,88,,,
EGY,202102,0,0,1,0,1,2,,,
EGY,202103,0,0,0,0,2,2,,,
EGY,202106,0,0,4,0,82,86,,,
EGY,202109,2,0,0,0,11,13,,,
EGY,202110,1,0,0,0,12,13,,,
EGY,202111,1,0,0,0,7,8,,,
EGY,202112,4,0,0,0,44,48,164534.0,,
EGY,202113,2,0,0,0,1,3,,,
EGY,202114,4,0,0,0,24,28,,,
EGY,202115,1,0,0,0,2,3,,,
EGY,202116,3,0,0,0,35,38,,,
EGY,202117,1,0,0,0,8,9,,,
EGY,202118,6,0,0,0,53,59,,,
EGY,202119,1,0,1,0,26,28,,,
EGY,202120,3,0,0,0,14,17,1575449.0,302544.0,
EGY,202121,0,0,0,0,6,6,2254371.0,331903.0,
EGY,202122,0,0,0,0,3,3,,,
EGY,202123,0,0,0,0,5,5,2931715.0,575045.0,
EGY,202124,0,0,0,0,5,5,,,
EGY,202125,0,0,1,0,0,1,,,
EGY,202126,0,0,0,0,1,1,,,
EGY,202127,0,0,0,0,2,2,,,
EGY,202128,0,0,1,0,0,1,,,
EGY,202131,0,0,8,0,1,9,,,
EGY,202132,0,0,3,0,2,5,,,
EGY,202133,0,0,1,0,1,2,,,
EGY,202134,0,0,7,0,2,9,,,
EGY,202135,0,0,21,0,0,21,,,
EGY,202137,0,0,4,0,0,4,,,
EGY,202138,0,0,9,0,2,11,,,
EGY,202139,0,0,12,0,0,12,,,
EGY,202140,0,0,5,0,1,6,,,
EGY,202141,0,0,17,0,1,18,,,
EGY,202142,0,0,65,0,2,67,16744829.0,8339003.0,
EGY,202143,0,0,5,0,2,7,,,
EGY,202144,0,0,8,0,0,8,19462191.0,11811236.0,
EGY,202145,0,0,15,2,4,21,21751641.0,13853984.0,
EGY,202146,0,0,12,0,3,15,23649491.0,14022224.0,
EGY,202147,0,0,0,0,3,3,,,
EGY,202148,0,0,59,8,11,78,27299203.0,16487356.0,
EGY,202149,4,0,46,13,20,83,29529394.0,17567408.0,
EGY,202150,1,0,53,15,19,88,31543226.0,19089596.0,
EGY,202151,6,0,54,3,30,93,,,
EGY,202152,0,0,74,3,7,84,,,
EGY,202201,0,0,35,65,12,112,35914913.0,23557717.0,
EGY,202202,0,0,36,113,11,160,36908333.0,24839799.0,
EGY,202203,0,0,12,44,2,58,,,
EGY,202205,0,0,0,32,3,35,,,
EGY,202206,0,0,0,29,8,37,,,
EGY,202207,0,0,0,14,3,17,40088514.0,29465603.0,
EGY,202208,0,0,2,21,1,24,40772051.0,29953832.0,
EGY,202209,0,0,2,77,3,82,,,
EGY,202210,0,0,2,24,1,27,,,
EGY,202211,0,0,0,20,5,25,,,
EGY,202212,0,0,0,3,0,3,,,
EGY,202215,0,0,0,0,1,1,,,
EGY,202218,0,0,0,13,0,13,,,
EGY,202220,0,0,0,9,0,9,,,
EGY,202221,0,0,0,32,0,32,,,
EGY,202222,0,0,0,17,4,21,,,
EGY,202223,0,0,0,10,7,17,,,
EGY,202224,0,0,0,21,4,25,,,
EGY,202225,0,0,0,51,2,53,,,
EGY,202226,0,0,0,127,22,149,,,
EGY,202227,0,0,0,40,2,42,,,
EGY,202228,0,0,0,34,4,38,50981808.0,37842081.0,6183619.0
EGY,202229,0,0,0,18,0,18,,,
EGY,202230,0,0,0,7,0,7,,,
ESP,202006,1,0,0,0,0,1,,,
ESP,202007,0,0,0,0,1,1,,,
ESP,202008,0,0,0,0,1,1,,,
ESP,202009,0,0,0,0,26,26,,,
ESP,202010,0,0,0,0,249,249,,,
ESP,202011,0,0,0,0,667,667,,,
ESP,202012,1,0,0,0,964,965,,,
ESP,202013,1,0,0,0,1285,1286,,,
ESP,202014,0,0,0,0,582,582,,,
ESP,202015,0,0,0,0,418,418,,,
ESP,202016,0,0,0,0,294,294,,,
ESP,202017,1,0,0,0,272,273,,,
ESP,202018,0,0,0,0,116,116,,,
ESP,202019,0,0,0,0,79,79,,,
ESP,202020,0,0,0,0,66,66,,,
ESP,202021,4,0,0,0,41,45,,,
ESP,202022,0,0,0,0,43,43,,,
ESP,202023,0,0,0,0,21,21,,,
ESP,202024,0,0,0,0,34,34,,,
ESP,202025,0,0,0,0,39,39,,,
ESP,202026,0,0,0,0,101,101,,,
ESP,202027,0,0,0,0,36,36,,,
ESP,202028,0,0,0,0,50,50,,,
ESP,202029,0,0,0,0,88,88,,,
ESP,202030,0,0,0,0,74,74,,,
ESP,202031,0,0,0,0,96,96,,,
ESP,202032,0,0,0,0,140,140,,,
ESP,202033,0,0,0,0,114,114,,,
ESP,202034,0,0,0,0,136,136,,,
ESP,202035,1,0,0,0,111,112,,,
ESP,202036,0,0,0,0,164,164,,,
ESP,202037,0,0,0,0,251,251,,,
ESP,202038,0,0,0,0,207,207,,,
ESP,202039,0,0,0,0,276,276,,,
ESP,202040,0,0,0,0,267,267,,,
ESP,202041,0,0,0,0,245,245,,,
ESP,202042,0,0,0,0,386,386,,,
ESP,202043,0,0,0,0,239,239,,,
ESP,202044,0,0,0,0,165,165,,,
ESP,202045,0,0,1,0,203,204,,,
ESP,202046,8,0,0,0,180,188,,,
ESP,202047,0,0,1,0,191,192,,,
ESP,202048,1,0,0,0,167,168,,,
ESP,202049,0,0,0,0,293,293,,,
ESP,202050,1,0,0,0,432,433,,,
ESP,202051,5,0,0,0,528,533,,,
ESP,202052,41,1,0,0,341,383,,,
ESP,202053,103,0,0,0,587,690,,,
ESP,202101,245,0,0,0,364,609,,,
ESP,202102,398,0,1,0,642,1041,,,
ESP,202103,437,0,0,0,1117,1554,,,
ESP,202104,415,1,1,0,1088,1505,,,
ESP,202105,536,2,0,0,976,1514,,,
ESP,202106,572,10,1,0,686,1269,,,
ESP,202107,679,10,1,0,715,1405,,,
ESP,202108,765,10,0,0,486,1261,,,
ESP,202109,870,2,0,0,427,1299,,,
ESP,202110,989,10,0,0,345,1344,,,
ESP,202111,869,15,0,0,208,1092,,,
ESP,202112,1189,9,0,0,202,1400,,,
ESP,202113,1078,35,1,0,197,1311,5707450.0,2841148.0,
ESP,202114,1198,22,0,0,225,1445,,,
ESP,202115,1374,26,0,0,216,1616,,,
ESP,202116,997,14,4,0,190,1205,,,
ESP,202117,1332,53,19,0,213,1617,,,
ESP,202118,1546,11,40,0,179,1776,,,
ESP,202119,1272,24,36,0,185,1517,,,
ESP,202120,1097,11,66,0,183,1357,,,
ESP,202121,955,14,147,0,196,1312,,,
ESP,202122,1256,1,190,0,299,1746,,,
ESP,202123,1007,14,262,0,214,1497,,,
ESP,202124,756,10,413,0,242,1421,,,
ESP,202125,573,21,664,0,254,1512,,,
ESP,202126,637,18,1797,0,549,3001,,,
ESP,202127,620,13,1939,0,452,3024,,,
ESP,202128,235,1,1950,0,189,2375,,,
ESP,202129,202,9,2376,0,246,2833,,,
ESP,202130,96,0,2358,0,104,2558,,,
ESP,202131,55,0,2785,0,86,2926,,,
ESP,202132,33,2,2004,0,45,2084,,,
ESP,202133,11,0,1844,0,27,1882,,,
ESP,202134,4,0,1845,0,27,1876,,,
ESP,202135,3,0,1645,0,12,1660,,,
ESP,202136,1,0,1351,0,8,1360,,,
ESP,202137,4,0,1107,0,8,1119,,,
ESP,202138,0,0,972,0,4,976,,,
ESP,202139,1,0,1012,0,9,1022,,,
ESP,202140,1,0,759,0,1,761,,,
ESP,202141,0,0,838,0,5,843,,,
ESP,202142,0,0,1158,0,1,1159,,,
ESP,202143,0,0,1144,0,3,1147,38037531.0,37317388.0,1074853.0
ESP,202144,0,0,1343,0,4,1347,,,
ESP,202145,1,0,1430,0,1,1432,,,
ESP,202146,0,0,2120,0,1,2121,,,
ESP,202147,0,0,1990,7,1,1998,,,
ESP,202148,0,0,2240,112,2,2354,,,
ESP,202149,0,0,2028,297,1,2326,,,
ESP,202150,0,0,1766,1368,1,3135,,,
ESP,202151,1,0,992,1480,1,2474,,,
ESP,202152,0,0,511,1525,0,2036,,,
ESP,202201,0,0,381,2211,0,2592,,,
ESP,202202,0,0,148,2331,0,2479,,,
ESP,202203,1,0,189,2155,3,2348,,,
ESP,202204,0,0,69,2224,1,2294,,,
ESP,202205,0,0,24,1921,1,1946,,,
ESP,202206,0,0,60,2159,1,2220,,,
ESP,202207,1,0,9,1857,1,1868,,,
ESP,202208,0,0,9,1688,2,1699,,,
ESP,202209,0,0,8,1728,0,1736,,,
ESP,202210,0,0,15,1944,3,1962,,,
ESP,202211,0,0,16,1999,2,2017,,,
ESP,202212,0,0,6,1568,3,1577,,,
ESP,202213,1,0,4,1578,3,1586,,,
ESP,202214,0,0,0,1323,8,1331,,,
ESP,202215,0,0,1,1212,10,1223,,,
ESP,202216,0,0,0,1573,0,1573,,,
ESP,202217,0,0,1,1841,4,1846,,,
ESP,202218,1,0,0,2008,1,2010,,,
ESP,202219,0,0,0,1827,3,1830,,,
ESP,202220,0,0,0,1800,0,1800,,,
ESP,202221,0,0,1,1569,6,1576,,,
ESP,202222,0,0,0,1692,0,1692,,,
ESP,202223,0,0,0,1517,0,1517,,,
ESP,202224,0,0,1,1670,0,1671,,,
ESP,202225,0,0,0,1963,4,1967,,,
ESP,202226,0,0,3,2374,0,2377,,,
ESP,202227,0,0,0,2275,1,2276,,,
ESP,202228,0,0,0,2098,0,2098,,,
ESP,202229,0,0,3,1897,1,1901,,,
ESP,202230,0,0,0,1437,0,1437,,,
ESP,202231,0,0,0,1272,1,1273,,,
ESP,202232,0,0,0,949,3,952,,,
ESP,202233,0,0,0,726,4,730,,,
ESP,202234,0,0,0,481,1,482,,,
ESP,202235,0,0,0,407,0,407,,,
ESP,202236,0,0,0,288,0,288,,,
ESP,202237,0,0,0,207,0,207,,,
ESP,202238,0,0,0,154,0,154,,,
ESP,202239,0,0,0,58,0,58,,,
ESP,202240,0,0,0,1,0,1,,,
EST,202037,0,0,0,0,1,1,,,
EST,202038,0,0,0,0,58,58,,,
EST,202039,0,0,0,0,62,62,,,
EST,202040,0,0,0,0,40,40,,,
EST,202041,0,0,0,0,21,21,,,
EST,202042,0,0,0,0,13,13,,,
EST,202043,0,0,0,0,10,10,,,
EST,202044,0,0,0,0,25,25,,,
EST,202045,0,0,0,0,27,27,,,
EST,202046,0,0,0,0,8,8,,,
EST,202047,0,0,0,0,11,11,,,
EST,202050,0,0,0,0,1,1,,,
EST,202051,0,0,0,0,1,1,,,
EST,202052,5,0,0,0,4,9,,,
EST,202053,4,0,0,0,33,37,2505.0,76.0,
EST,202101,0,0,0,0,3,3,10693.0,330.0,1.0
EST,202102,0,0,0,0,3,3,18020.0,742.0,1.0
EST,202103,1,0,0,0,7,8,23321.0,3417.0,68.0
EST,202104,0,0,0,0,31,31,27793.0,11161.0,284.0
EST,202105,1,0,0,0,13,14,35701.0,18688.0,630.0
EST,202106,22,0,0,0,128,150,45995.0,23474.0,863.0
EST,202107,110,2,0,0,302,414,61751.0,27746.0,1009.0
EST,202108,11,0,0,0,13,24,78411.0,36125.0,1373.0
EST,202109,59,1,0,0,34,94,101196.0,47108.0,1594.0
EST,202110,382,2,0,0,146,530,132963.0,57009.0,1801.0
EST,202111,376,2,0,0,105,483,165787.0,62842.0,1981.0
EST,202112,447,9,0,0,84,540,193475.0,67598.0,2172.0
EST,202113,571,14,0,0,47,632,222281.0,76973.0,2459.0
EST,202114,188,3,0,0,6,197,258582.0,84386.0,2838.0
EST,202115,168,0,0,0,3,171,286813.0,95685.0,3381.0
EST,202116,175,4,0,0,0,179,310005.0,110546.0,4028.0
EST,202117,164,0,0,0,2,166,337579.0,138035.0,5195.0
EST,202118,162,0,0,0,5,167,371628.0,173381.0,6594.0
EST,202119,165,0,0,0,2,167,399776.0,197123.0,7619.0
EST,202122,79,0,0,0,0,79,498387.0,299781.0,10260.0
EST,202123,47,0,2,0,0,49,521485.0,348327.0,11551.0
EST,202124,49,0,0,0,0,49,541694.0,402873.0,13100.0
EST,202126,4,0,45,0,0,49,565197.0,465170.0,14961.0
EST,202127,11,0,82,0,0,93,581223.0,496720.0,16160.0
EST,202128,2,0,65,0,0,67,595571.0,524438.0,17326.0
EST,202129,5,0,173,0,0,178,618377.0,552636.0,18258.0
EST,202130,2,0,179,0,0,181,638256.0,572382.0,19131.0
EST,202131,0,0,178,0,0,178,664588.0,590945.0,20162.0
EST,202132,0,0,183,0,0,183,688876.0,610066.0,21381.0
EST,202133,0,0,186,0,0,186,705745.0,625669.0,22509.0
EST,202134,0,0,180,0,0,180,721381.0,640613.0,23888.0
EST,202135,0,0,183,0,0,183,732119.0,657673.0,25320.0
EST,202136,0,0,172,0,0,172,739461.0,674961.0,26956.0
EST,202137,0,0,171,0,0,171,746686.0,694415.0,28831.0
EST,202138,0,0,176,0,0,176,753928.0,714762.0,30854.0
EST,202139,0,0,167,0,0,167,759683.0,728679.0,32308.0
EST,202140,0,0,173,0,0,173,764505.0,738681.0,34054.0
EST,202141,0,0,164,0,0,164,769967.0,747575.0,39264.0
EST,202142,0,0,165,0,0,165,780281.0,758230.0,50265.0
EST,202143,0,0,165,0,0,165,794581.0,769207.0,77397.0
EST,202144,0,0,168,0,0,168,807116.0,777882.0,115807.0
EST,202145,0,0,132,0,0,132,815221.0,784029.0,148703.0
EST,202146,0,0,175,0,0,175,821186.0,789742.0,180293.0
EST,202147,0,0,168,0,0,168,826100.0,796088.0,207148.0
EST,202148,0,0,176,0,0,176,830174.0,803108.0,232319.0
EST,202149,0,0,174,0,0,174,833419.0,811166.0,258506.0
EST,202150,0,0,169,4,0,173,836462.0,818996.0,287853.0
EST,202151,0,0,122,54,0,176,839267.0,823598.0,310813.0
EST,202152,0,0,104,72,0,176,842159.0,827644.0,331616.0
EST,202201,0,0,19,142,0,161,846132.0,832121.0,356655.0
EST,202202,0,0,15,158,0,173,849342.0,835908.0,384786.0
EST,202203,0,0,6,162,0,168,852057.0,838832.0,406411.0
EST,202204,0,0,2,164,0,166,854032.0,841234.0,422247.0
EST,202205,0,0,1,167,0,168,855108.0,843040.0,433611.0
EST,202206,0,0,0,92,0,92,855916.0,844697.0,440831.0
EST,202207,0,0,0,178,0,178,856576.0,846363.0,446580.0
EST,202208,0,0,0,173,0,173,857133.0,847626.0,451436.0
EST,202209,0,0,0,177,0,177,857694.0,848812.0,456142.0
EST,202210,0,0,0,174,0,174,858236.0,849762.0,460089.0
EST,202211,0,0,0,202,0,202,858621.0,850356.0,462992.0
EST,202212,0,0,0,157,0,157,858969.0,850843.0,465897.0
EST,202213,0,0,0,175,0,175,859307.0,851286.0,468533.0
EST,202214,0,0,0,182,0,182,859587.0,851633.0,470957.0
EST,202215,0,0,0,177,0,177,859872.0,851957.0,473092.0
EST,202216,0,0,0,176,0,176,860239.0,852384.0,475146.0
EST,202217,0,0,0,181,0,181,860583.0,852742.0,476990.0
EST,202218,0,0,0,180,0,180,860973.0,853155.0,478663.0
EST,202219,0,0,0,181,0,181,861391.0,853587.0,480190.0
EST,202220,0,0,0,183,0,183,861670.0,853912.0,481477.0
EST,202221,0,0,0,183,0,183,861977.0,854232.0,482797.0
EST,202222,0,0,0,176,0,176,862208.0,854480.0,483913.0
EST,202223,0,0,0,182,0,182,862492.0,854766.0,484823.0
EST,202224,0,0,0,128,0,128,862804.0,855076.0,485723.0
EST,202225,0,0,0,48,0,48,862971.0,855250.0,486289.0
EST,202226,0,0,0,80,0,80,863138.0,855435.0,486941.0
EST,202227,0,0,0,82,0,82,863342.0,855640.0,487784.0
EST,202228,0,0,0,96,0,96,863619.0,855906.0,488918.0
EST,202229,0,0,0,69,0,69,863918.0,856190.0,491285.0
EST,202230,0,0,0,64,0,64,864305.0,856552.0,494663.0
EST,202231,0,0,0,33,0,33,864716.0,856939.0,499304.0
EST,202232,0,0,0,113,0,113,865149.0,857355.0,505053.0
EST,202233,0,0,0,172,0,172,865519.0,857731.0,510485.0
EST,202234,0,0,0,160,0,160,865840.0,858050.0,515867.0
EST,202235,0,0,0,95,0,95,866141.0,858334.0,521459.0
EST,202236,0,0,0,143,0,143,866448.0,858637.0,526529.0
EST,202237,0,0,0,201,0,201,866697.0,858910.0,531413.0
EST,202238,0,0,0,106,0,106,866853.0,859076.0,537088.0
FRA,202002,0,0,0,0,3,3,,,
FRA,202004,0,0,0,0,5,5,,,
FRA,202005,0,0,0,0,8,8,,,
FRA,202006,0,0,0,0,6,6,,,
FRA,202007,0,0,0,0,2,2,,,
FRA,202008,0,0,0,0,5,5,,,
FRA,202009,0,0,0,0,36,36,,,
FRA,202010,0,0,0,0,142,142,,,
FRA,202011,0,0,0,0,258,258,,,
FRA,202012,0,0,0,0,504,504,,,
FRA,202013,0,0,0,0,790,790,,,
FRA,202014,0,0,0,0,860,860,,,
FRA,202015,1,0,0,0,672,673,,,
FRA,202016,0,0,0,0,333,333,,,
FRA,202017,0,0,0,0,158,158,,,
FRA,202018,0,0,0,0,101,101,,,
FRA,202019,0,0,0,0,103,103,,,
FRA,202020,0,0,0,0,38,38,,,
FRA,202021,0,0,0,0,29,29,,,
FRA,202022,1,0,0,0,35,36,,,
FRA,202023,0,0,0,0,11,11,,,
FRA,202024,0,0,0,0,27,27,,,
FRA,202025,0,0,0,0,17,17,,,
FRA,202026,0,0,0,0,11,11,,,
FRA,202027,0,0,0,0,15,15,,,
FRA,202028,0,0,0,0,33,33,,,
FRA,202029,0,0,0,0,36,36,,,
FRA,202030,0,0,0,0,50,50,,,
FRA,202031,0,0,0,0,90,90,,,
FRA,202032,0,0,0,0,93,93,,,
FRA,202033,0,0,0,0,151,151,,,
FRA,202034,0,0,0,0,134,134,,,
FRA,202035,0,0,0,0,114,114,,,
FRA,202036,2,0,0,0,399,401,,,
FRA,202037,0,0,0,0,412,412,,,
FRA,202038,0,0,0,0,355,355,,,
FRA,202039,0,0,0,0,152,152,,,
FRA,202040,0,0,0,0,202,202,,,
FRA,202041,0,0,0,0,225,225,,,
FRA,202042,0,0,0,0,268,268,,,
FRA,202043,1,0,0,0,590,591,,,
FRA,202044,2,0,0,0,615,617,,,
FRA,202045,0,0,0,0,427,427,,,
FRA,202046,0,0,0,0,326,326,,,
FRA,202047,4,0,0,0,298,302,,,
FRA,202048,0,0,0,0,173,173,,,
FRA,202049,1,0,0,0,184,185,,,
FRA,202050,0,0,0,0,149,149,,,
FRA,202051,1,0,0,0,240,241,,,
FRA,202052,29,3,0,0,216,248,,,
FRA,202053,46,3,0,0,222,271,4180.0,8.0,
FRA,202101,206,7,0,0,432,645,104873.0,110.0,
FRA,202102,245,16,1,0,509,771,450517.0,684.0,
FRA,202103,312,39,2,0,593,946,1133637.0,1873.0,
FRA,202104,966,67,2,0,937,1972,1675027.0,53370.0,1.0
FRA,202105,1036,65,1,0,508,1610,2051390.0,271583.0,1.0
FRA,202106,541,49,1,0,410,1001,2429592.0,689718.0,1.0
FRA,202107,791,74,0,0,772,1637,2727290.0,1225056.0,22.0
FRA,202108,806,66,1,0,467,1340,3148212.0,1656898.0,29.0
FRA,202109,1936,152,0,0,1465,3553,4010963.0,2000546.0,44.0
FRA,202110,1346,110,0,0,867,2323,5360218.0,2299802.0,58.0
FRA,202111,3556,272,1,0,963,4792,6439042.0,2503184.0,80.0
FRA,202112,2012,161,0,0,409,2582,8062498.0,2728840.0,96.0
FRA,202113,2840,278,1,0,470,3589,9611577.0,3181147.0,136.0
FRA,202114,1240,138,1,0,267,1646,11159920.0,3761957.0,262.0
FRA,202115,2572,274,3,0,418,3267,12922622.0,4583554.0,1432.0
FRA,202116,1319,149,16,0,260,1744,14463654.0,5592062.0,5162.0
FRA,202117,2190,241,32,0,253,2716,16235646.0,6659026.0,10765.0
FRA,202118,800,130,34,0,138,1102,18234146.0,7939030.0,17449.0
FRA,202119,1748,199,20,0,131,2098,20683374.0,9069406.0,24103.0
FRA,202120,722,102,49,0,142,1015,23534591.0,9998095.0,35369.0
FRA,202121,1641,104,44,0,158,1947,25951885.0,11128053.0,45627.0
FRA,202122,393,54,82,0,123,652,28495313.0,12701347.0,55650.0
FRA,202123,997,93,187,0,128,1405,30821904.0,14507649.0,64833.0
FRA,202124,162,29,162,0,79,432,32653853.0,16823327.0,72878.0
FRA,202125,414,90,603,0,170,1277,34004336.0,19583679.0,80082.0
FRA,202126,301,62,960,0,107,1430,35204097.0,22574294.0,91061.0
FRA,202127,372,72,2160,0,131,2735,36448434.0,25366824.0,102244.0
FRA,202128,396,59,9639,0,240,10334,38133534.0,28028287.0,112001.0
FRA,202129,307,26,15357,0,150,15840,40468301.0,30598365.0,121865.0
FRA,202130,115,9,8703,0,108,8935,43097632.0,32448759.0,131931.0
FRA,202131,85,4,6501,0,84,6674,45273999.0,33918808.0,141629.0
FRA,202132,36,7,6695,0,82,6820,46862775.0,35574370.0,150749.0
FRA,202133,16,1,6049,0,59,6125,47986527.0,37560240.0,160098.0
